"Name","Price","Image URL","Product URL","Brand","Review Count","Rating","InStock","Description"
"Kids Sonic Toothbrush - Pink","$58.0","https://burstoralcare.com/cdn/shop/files/blue_slide_1.png?v=1712298066","https://burstoralcare.com/products/kids-sonic-toothbrush?variant=44232426848411","US-burstoralcare-dev","","4.9","In Stock","Kids brush 101We&#39;re dedicated to simplifying oral care for your entire family, but especially for your kids. Drawing from the expertise of our 40,000+ dental professionals, many of whom are parents, we developed a sonic toothbrush to meet their rigorous standards.  Clinically proven to be more effective at removing dental plaque than a manual toothbrush.*We’re making optimal oral health easier and more enjoyable to achieve for kids and adults alike. In fact, more than 96% of parents reported BURSTkids was easy for their child to use** and 87.5% of parents reported that their child brushes better with the BURSTkids brush.**And, you guessed it, our community of Dental Professionals love them too! Key features26x Better Plaque Removal: Extra-soft tapered bristles and a powerful motor help effectively clean kid &amp;amp; toddler teeth ages 2+, 26x better than a manual toothbrush.*Makes Brushing Fun: 9 of 10 parents said their child liked brushing with BURST more than their other toothbrush.** Exclusive educational videos, easy-to-hold silicone handle, and 2 modes make it kid-approved.Convenient &amp;amp; Durable: 30 days of use on a single charge! Don’t keep buying batteries like with other kids&#39; electric toothbrushes. And the durable, water-resistant, silicone-wrapped design stands up to kids’ wear &amp;amp; tear!Loved By Hygienists &amp;amp; Dentists: Our community of dental professionals help us design &amp;amp; refine our kids&#39; toothbrushes.BenefitsEffective, easy and empowering: More effective at removing dental plaque than a manual toothbrush.*Easy to use small sized handle requires less effort and dexterity.Guided timer to complete dentist recommended 2 minutes. Perfect for preparing kids for their first dentist visit.Minimizes parenting headaches with its durable casing and long battery life.Clinically proven* results:Up to 26x better in plaque reduction than a manual toothbrush.*More than 96% of parents reported BURSTkids was easy for their child to use.**More than 96% of parents reported the built-in timer helped their child brush their teeth for the dentist-recommended two minutes.**87.5% of parents reported that their child brushes better with the BURSTkids brush.****Results from end-of-study questionnaire. Data on file at burstoralcare.com/clinicalThe goodsBURSTkids™ Sonic ToothbrushA kid-sized brush head: the perfect fit for developing mouths.Charging base "
"Pro Brush Replacement Head - Black","$8.0","https://burstoralcare.com/cdn/shop/files/pro_head_black_1.png?v=1711092318","https://burstoralcare.com/products/pro-brush-replacement-head?variant=44248009736347","US-burstoralcare-dev","","3.8","In Stock",""
"Pro Brush Replacement Head - White","$8.0","https://burstoralcare.com/cdn/shop/files/pro_head_black_1.png?v=1711092318","https://burstoralcare.com/products/pro-brush-replacement-head?variant=44248009769115","US-burstoralcare-dev","","3.8","In Stock",""
"Pro Brush Replacement Head - Rose Gold","$8.0","https://burstoralcare.com/cdn/shop/files/pro_head_black_1.png?v=1711092318","https://burstoralcare.com/products/pro-brush-replacement-head?variant=44248009801883","US-burstoralcare-dev","","3.8","In Stock",""
"Pro Brush Replacement Head - Cobalt Blue","$8.0","https://burstoralcare.com/cdn/shop/files/pro_head_black_1.png?v=1711092318","https://burstoralcare.com/products/pro-brush-replacement-head?variant=44248009834651","US-burstoralcare-dev","","3.8","In Stock",""
"Pro Brush Replacement Head - Graphite","$12.0","https://burstoralcare.com/cdn/shop/files/pro_head_black_1.png?v=1711092318","https://burstoralcare.com/products/pro-brush-replacement-head?variant=45781252112539","US-burstoralcare-dev","","3.8","In Stock",""
"Pro Brush Replacement Head - Frost","$12.0","https://burstoralcare.com/cdn/shop/files/pro_head_black_1.png?v=1711092318","https://burstoralcare.com/products/pro-brush-replacement-head?variant=45781252145307","US-burstoralcare-dev","","3.8","In Stock",""
"Pro Brush Replacement Head - Marine Teal","$12.0","https://burstoralcare.com/cdn/shop/files/pro_head_black_1.png?v=1711092318","https://burstoralcare.com/products/pro-brush-replacement-head?variant=47505252417691","US-burstoralcare-dev","","3.8","In Stock",""
"Pro 2.0 Sonic Toothbrush - Black","$115.0","https://burstoralcare.com/cdn/shop/files/Property1_1_493c4e9f-a4ae-4117-a662-3db901c3b33b.png?v=1762259984","https://burstoralcare.com/products/pro-sonic-toothbrush-2?variant=47397372199067","US-burstoralcare-dev","","4.8","In Stock","Pro 101The BURST Pro 2.0 is clinically proven to remove up to 10x more plaque.* It&#39;s no wonder — we created it to be the peak of dental technology with 1000s of experts from our 40k+ community of hygienists and dentists.Dental professionals want patients to enjoy the healthiest mouth and best experience possible.So that&#39;s exactly what we did.Key featuresExpert-Designed Bristles: Soft, tapered bristles reach deep below the gumline and between teeth — clinically proven to remove up to 10x more plaque than a manual brush.*Smarter Pressure Sensor: Real-time feedback coaches your technique and helps protect gums with every session.Next-Gen LED Display: Five personalized brushing modes, a 2-minute timer and an intuitive screen give you a smarter, more customized clean.Our Most Powerful Motor Yet: Crush plaque with enhanced vibration control for a deeper, more comfortable clean.Up to 9-Month Rechargeable Battery*: Industry-leading battery life with a USB-C charger — less charging, more brushing.Magnetic Wall Mount: Declutter your counter and keep your brush within easy reach — sleek, secure, and space-saving.BenefitsYour Whitest Smile Yet – Removes up to 10x more plaque than a manual brush.Smart Brushing Your Way – Helps protect gums with real-time pressure feedback.Built to Make Life Easy – Go months without worrying about charging with a battery life up to 9 months of battery on a single charge.Sleek, space-saving design: Adhesive wall mount keeps your brush secure, dry, and ready to useClinically proven* results:Removes up to 10x more plaqueReduce gum bleeding up to 3xRemoves up to 4x more plaque from between teethUp to 95% greater plaque removal in hard-to-reach areas96% of users said this brush gave them a professional clean feeling*Compared to a manual toothbrush, brushing twice daily in whitening mode for two minutes for a period of 30 days. Data on file at burstoralcare.com/clinical.**When used on freshen mode.The goodsPro 2.0 Sonic ToothbrushBrush head with soft tapered bristlesCharging baseUSB-C charging cableMagnetic  wall mount with 3M mounting sticker"
"Pro 2.0 Sonic Toothbrush - White","$115.0","https://burstoralcare.com/cdn/shop/files/Property1_1_493c4e9f-a4ae-4117-a662-3db901c3b33b.png?v=1762259984","https://burstoralcare.com/products/pro-sonic-toothbrush-2?variant=47397372166299","US-burstoralcare-dev","","4.8","In Stock","Pro 101The BURST Pro 2.0 is clinically proven to remove up to 10x more plaque.* It&#39;s no wonder — we created it to be the peak of dental technology with 1000s of experts from our 40k+ community of hygienists and dentists.Dental professionals want patients to enjoy the healthiest mouth and best experience possible.So that&#39;s exactly what we did.Key featuresExpert-Designed Bristles: Soft, tapered bristles reach deep below the gumline and between teeth — clinically proven to remove up to 10x more plaque than a manual brush.*Smarter Pressure Sensor: Real-time feedback coaches your technique and helps protect gums with every session.Next-Gen LED Display: Five personalized brushing modes, a 2-minute timer and an intuitive screen give you a smarter, more customized clean.Our Most Powerful Motor Yet: Crush plaque with enhanced vibration control for a deeper, more comfortable clean.Up to 9-Month Rechargeable Battery*: Industry-leading battery life with a USB-C charger — less charging, more brushing.Magnetic Wall Mount: Declutter your counter and keep your brush within easy reach — sleek, secure, and space-saving.BenefitsYour Whitest Smile Yet – Removes up to 10x more plaque than a manual brush.Smart Brushing Your Way – Helps protect gums with real-time pressure feedback.Built to Make Life Easy – Go months without worrying about charging with a battery life up to 9 months of battery on a single charge.Sleek, space-saving design: Adhesive wall mount keeps your brush secure, dry, and ready to useClinically proven* results:Removes up to 10x more plaqueReduce gum bleeding up to 3xRemoves up to 4x more plaque from between teethUp to 95% greater plaque removal in hard-to-reach areas96% of users said this brush gave them a professional clean feeling*Compared to a manual toothbrush, brushing twice daily in whitening mode for two minutes for a period of 30 days. Data on file at burstoralcare.com/clinical.**When used on freshen mode.The goodsPro 2.0 Sonic ToothbrushBrush head with soft tapered bristlesCharging baseUSB-C charging cableMagnetic  wall mount with 3M mounting sticker"
"Pro 2.0 Sonic Toothbrush - Rose Gold","$115.0","https://burstoralcare.com/cdn/shop/files/Property1_1_493c4e9f-a4ae-4117-a662-3db901c3b33b.png?v=1762259984","https://burstoralcare.com/products/pro-sonic-toothbrush-2?variant=47397372231835","US-burstoralcare-dev","","4.8","In Stock","Pro 101The BURST Pro 2.0 is clinically proven to remove up to 10x more plaque.* It&#39;s no wonder — we created it to be the peak of dental technology with 1000s of experts from our 40k+ community of hygienists and dentists.Dental professionals want patients to enjoy the healthiest mouth and best experience possible.So that&#39;s exactly what we did.Key featuresExpert-Designed Bristles: Soft, tapered bristles reach deep below the gumline and between teeth — clinically proven to remove up to 10x more plaque than a manual brush.*Smarter Pressure Sensor: Real-time feedback coaches your technique and helps protect gums with every session.Next-Gen LED Display: Five personalized brushing modes, a 2-minute timer and an intuitive screen give you a smarter, more customized clean.Our Most Powerful Motor Yet: Crush plaque with enhanced vibration control for a deeper, more comfortable clean.Up to 9-Month Rechargeable Battery*: Industry-leading battery life with a USB-C charger — less charging, more brushing.Magnetic Wall Mount: Declutter your counter and keep your brush within easy reach — sleek, secure, and space-saving.BenefitsYour Whitest Smile Yet – Removes up to 10x more plaque than a manual brush.Smart Brushing Your Way – Helps protect gums with real-time pressure feedback.Built to Make Life Easy – Go months without worrying about charging with a battery life up to 9 months of battery on a single charge.Sleek, space-saving design: Adhesive wall mount keeps your brush secure, dry, and ready to useClinically proven* results:Removes up to 10x more plaqueReduce gum bleeding up to 3xRemoves up to 4x more plaque from between teethUp to 95% greater plaque removal in hard-to-reach areas96% of users said this brush gave them a professional clean feeling*Compared to a manual toothbrush, brushing twice daily in whitening mode for two minutes for a period of 30 days. Data on file at burstoralcare.com/clinical.**When used on freshen mode.The goodsPro 2.0 Sonic ToothbrushBrush head with soft tapered bristlesCharging baseUSB-C charging cableMagnetic  wall mount with 3M mounting sticker"
